critic,generator,f_critic,f_generator,lr_critic,lr_generator,norm_critic,norm_generator,reconstuction,penalty,num_cri,batches_per_epoch,epochs,SSIM,PSNR,comments
dcgan,unet,32.0,16.0,2e-05,5e-05,layer,instance,1.0,10.0,15,120.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,layer,instance,1.0,10.0,15,120.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,layer,instance,1.0,10.0,15,120.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,layer,instance,1.0,10.0,15,120.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,layer,instance,1.0,10.0,15,120.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,layer,instance,1.0,10.0,15,120.0,100.0,1e-07,1e-07,
dcgan,unet,48.0,16.0,2e-05,5e-05,layer,instance,1.0,10.0,15,120.0,100.0,1e-07,1e-07,
dcgan,unet,42.0,16.0,2e-05,5e-05,none,instance,1.0,10.0,15,80.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,none,instance,1.0,10.0,15,80.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,none,instance,1.0,10.0,15,80.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,none,instance,1.0,10.0,15,80.0,100.0,1e-07,1e-07,
patchgan,unet,32.0,16.0,2e-05,5e-05,none,instance,1.0,10.0,15,80.0,100.0,1e-07,1e-07,
dcgan,unet,32.0,16.0,2e-05,5e-05,none,instance,1.0,10.0,15,80.0,100.0,1e-07,1e-07,
